Subtopic,QuestionNumber,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty
Linear Equations,5,\(\frac{3x}{5} - 1 = 2\) সমীকরণটি সমাধান করুন।,x = 5,x = 6,x = 7,x = 8,A,১ যোগ করুন: \(\frac{3x}{5} = 3\)। ৫ দ্বারা গুণ করুন: \(3x = 15\)। ৩ দ্বারা ভাগ করুন: \(x = 5\)। যাচাই: \(\frac{3(5)}{5} - 1 = 3 - 1 = 2\)।,5
Quadratic Equations,6,\(x^2 - 6x + 8 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -2 এবং -4,x = 1 এবং 8,x = 3 এবং 5,x = 2 এবং 4,D,"গুণক বিশ্লেষণ: \(x^2 - 6x + 8 = (x - 2)(x - 4) = 0\)। মূল: \(x = 2\) অথবা \(x = 4\)। যাচাই: \(x = 2\) এর জন্য, \(4 - 12 + 8 = 0\); \(x = 4\) এর জন্য, \(16 - 24 + 8 = 0\)।",7
Linear Equations,7,দুটি সংখ্যার যোগফল ২৪ এবং একটি সংখ্যা অপরটির চেয়ে ৮ বেশি। বড় সংখ্যাটি খুঁজুন।,16,18,20,22,A,"ধরি, ছোট সংখ্যা \(z\)। বড় সংখ্যা: \(z + 8\)। যোগফল: \(z + (z + 8) = 24\)। সমাধান: \(2z + 8 = 24\), \(2z = 16\), \(z = 8\)। বড় সংখ্যা: \(8 + 8 = 16\)। যাচাই: \(8 + 16 = 24\)।",2
Quadratic Equations,8,\(x^2 - 9 = 0\) সমীকরণটি সমাধান করুন।,x = -9 এবং 9,x = 0 এবং 9,x = -1 এবং 1,x = -3 এবং 3,D,"পুনর্বিন্যাস: \(x^2 - 9 = (x - 3)(x + 3) = 0\)। মূল: \(x = 3\) অথবা \(x = -3\)। যাচাই: \(x = 3\) এর জন্য, \(9 - 9 = 0\); \(x = -3\) এর জন্য, \(9 - 9 = 0\)।",6
Linear Equations,9,\(\frac{2x}{5} + 1 = 3\) সমীকরণটি সমাধান করুন।,x = 5,x = 6,x = 7,x = 8,A,১ বিয়োগ করুন: \(\frac{2x}{5} = 2\)। ৫ দ্বারা গুণ করুন: \(2x = 10\)। ২ দ্বারা ভাগ করুন: \(x = 5\)। যাচাই: \(\frac{2(5)}{5} + 1 = 2 + 1 = 3\)।,8
Quadratic Equations,10,\(x^2 - 8x + 12 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -2 এবং -6,x = 3 এবং 5,x = 1 এবং 7,x = 2 এবং 6,D,"গুণক বিশ্লেষণ: \(x^2 - 8x + 12 = (x - 2)(x - 6) = 0\)। মূল: \(x = 2\) অথবা \(x = 6\)। যাচাই: \(x = 2\) এর জন্য, \(4 - 16 + 12 = 0\); \(x = 6\) এর জন্য, \(36 - 48 + 12 = 0\)।",10
Linear Equations,11,\(\frac{2x}{3} + 10 = 14\) সমীকরণটি সমাধান করুন।,Tk. 20000,Tk. 25000,Tk. 30000,Tk. 35000,C,১০ বিয়োগ করুন: \(\frac{2x}{3} = 4\)। ৩ দ্বারা গুণ করুন: \(2x = 12\)। ২ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{2(6)}{3} + 10 = 4 + 10 = 14\)।,8
Quadratic Equations,12,\(x^2 + 2x - 8 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 4 এবং -2,x = -4 এবং -2,x = 4 এবং 2,x = -4 এবং 2,D,"গুণক বিশ্লেষণ: \(x^2 + 2x - 8 = (x + 4)(x - 2) = 0\)। মূল: \(x = -4\) অথবা \(x = 2\)। যাচাই: \(x = -4\) এর জন্য, \(16 - 8 - 8 = 0\); \(x = 2\) এর জন্য, \(4 + 4 - 8 = 0\)।",7
Linear Equations,13,"একটি ক্লাসে, প্রতি বেঞ্চে ৪ জন ছাত্র বসলে ৩টি বেঞ্চ খালি থাকে। প্রতি বেঞ্চে ৩ জন ছাত্র বসলে ৬ জন ছাত্র দাঁড়িয়ে থাকে। ক্লাসে মোট কতজন ছাত্র আছে?",45,50,55,60,D,"ধরি, ছাত্র সংখ্যা \(x\)। ৪ জন প্রতি বেঞ্চে: \(\frac{x}{4} + 3 = \frac{x - 6}{3}\)。 সমাধান: \(3(x + 12) = 4(x - 6)\), \(3x + 36 = 4x - 24\), \(x = 60\)। যাচাই: \(60/4 + 3 = 18\), \((60 - 6)/3 = 18\)।",9
Quadratic Equations,14,\(x^2 - 3x - 10 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -5 এবং 2,x = 5 এবং -2,x = -3 এবং 2,x = 3 এবং -2,B,"গুণক বিশ্লেষণ: \(x^2 - 3x - 10 = (x - 5)(x + 2) = 0\)। মূল: \(x = 5\) অথবা \(x = -2\)। যাচাই: \(x = 5\) এর জন্য, \(25 - 15 - 10 = 0\); \(x = -2\) এর জন্য, \(4 + 6 - 10 = 0\)।",2
Linear Equations,15,একটি দুই অঙ্কের সংখ্যার একক স্থানের অঙ্ক দশক স্থানের অঙ্কের চেয়ে ৩ বেশি। অঙ্কগুলি পাল্টালে নতুন সংখ্যা মূল সংখ্যার চেয়ে ২৭ বেশি হয়। সংখ্যাটি খুঁজুন।,25,36,47,58,C,"ধরি, দশক স্থানের অঙ্ক \(t\)। একক স্থানের অঙ্ক: \(t + 3\)। মূল সংখ্যা: \(10t + (t + 3) = 11t + 3\)। নতুন সংখ্যা: \(10(t + 3) + t = 11t + 30\)। সমীকরণ: \(11t + 30 = (11t + 3) + 27\)। সমাধান: \(27 = 27\), \(t = 4\), সংখ্যা: \(11(4) + 3 = 47\)। যাচাই: \(47 → 74\), \(74 = 47 + 27\)।",5
Quadratic Equations,16,\(x^2 + 5x + 6 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -2 এবং -3,x = 2 এবং 3,x = -2 এবং 3,x = 2 এবং -3,A,"গুণক বিশ্লেষণ: \(x^2 + 5x + 6 = (x + 2)(x + 3) = 0\)। মূল: \(x = -2\) অথবা \(x = -3\)। যাচাই: \(x = -2\) এর জন্য, \(4 - 10 + 6 = 0\); \(x = -3\) এর জন্য, \(9 - 15 + 6 = 0\)।",1
Linear Equations,17,\(\frac{3x}{4} + 1 = 7\) সমীকরণটি সমাধান করুন।,x = 6,x = 7,x = 8,x = 9,C,১ বিয়োগ করুন: \(\frac{3x}{4} = 6\)। ৪ দ্বারা গুণ করুন: \(3x = 24\)। ৩ দ্বারা ভাগ করুন: \(x = 8\)। যাচাই: \(\frac{3(8)}{4} + 1 = 6 + 1 = 7\)।,1
Quadratic Equations,18,\(x^2 - 4 = 0\) সমীকরণটি সমাধান করুন।,x = -4 এবং 4,x = 0 এবং 4,x = -1 এবং 1,x = -2 এবং 2,D,"পুনর্বিন্যাস: \(x^2 - 4 = (x - 2)(x + 2) = 0\)। মূল: \(x = 2\) অথবা \(x = -2\)। যাচাই: \(x = 2\) এর জন্য, \(4 - 4 = 0\); \(x = -2\) এর জন্য, \(4 - 4 = 0\)।",10
Linear Equations,19,\(\frac{4x}{5} - 2 = 2\) সমীকরণটি সমাধান করুন।,x = 5,x = 6,x = 7,x = 8,A,২ যোগ করুন: \(\frac{4x}{5} = 4\)। ৫ দ্বারা গুণ করুন: \(4x = 20\)। ৪ দ্বারা ভাগ করুন: \(x = 5\)। যাচাই: \(\frac{4(5)}{5} - 2 = 4 - 2 = 2\)।,6
Quadratic Equations,20,\(x^2 - 6x + 9 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -3,x = 2,x = 3,x = -2,C,"গুণক বিশ্লেষণ: \(x^2 - 6x + 9 = (x - 3)^2 = 0\)। মূল: \(x = 3\)। যাচাই: \(x = 3\) এর জন্য, \(9 - 18 + 9 = 0\)।",2
Linear Equations,21,একটি দুই অঙ্কের সংখ্যার অঙ্কগুলির যোগফল ৮। অঙ্কগুলি পাল্টালে নতুন সংখ্যা মূল সংখ্যার চেয়ে ৩৬ বেশি হয়। সংখ্যাটি খুঁজুন।,26,35,44,53,A,"ধরি, দশক স্থানের অঙ্ক \(t\), একক স্থানের অঙ্ক \(8 - t\)। মূল সংখ্যা: \(10t + (8 - t) = 9t + 8\)। নতুন সংখ্যা: \(10(8 - t) + t = 80 - 9t\)। সমীকরণ: \(80 - 9t = (9t + 8) + 36\)। সমাধান: \(80 - 9t = 9t + 44\), \(36 = 18t\), \(t = 2\)। সংখ্যা: \(9(2) + 8 = 26\)। যাচাই: \(26 → 62\), \(62 = 26 + 36\)।",3
Quadratic Equations,22,\(x^2 + x - 12 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 4 এবং -3,x = -4 এবং -3,x = 4 এবং 3,x = -4 এবং 3,D,"গুণক বিশ্লেষণ: \(x^2 + x - 12 = (x + 4)(x - 3) = 0\)। মূল: \(x = -4\) অথবা \(x = 3\)। যাচাই: \(x = -4\) এর জন্য, \(16 - 4 - 12 = 0\); \(x = 3\) এর জন্য, \(9 + 3 - 12 = 0\)।",9
Linear Equations,23,\(\frac{2x}{3} + 2 = 6\) সমীকরণটি সমাধান করুন।,x = 6,x = 7,x = 8,x = 9,A,২ বিয়োগ করুন: \(\frac{2x}{3} = 4\)। ৩ দ্বারা গুণ করুন: \(2x = 12\)। ২ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{2(6)}{3} + 2 = 4 + 2 = 6\)।,5
Quadratic Equations,24,\(x^2 - 10x + 21 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -3 এবং -7,x = 2 এবং 8,x = 4 এবং 6,x = 3 এবং 7,D,"গুণক বিশ্লেষণ: \(x^2 - 10x + 21 = (x - 3)(x - 7) = 0\)। মূল: \(x = 3\) অথবা \(x = 7\)। যাচাই: \(x = 3\) এর জন্য, \(9 - 30 + 21 = 0\); \(x = 7\) এর জন্য, \(49 - 70 + 21 = 0\)।",1
Linear Equations,25,\(\frac{3x}{5} + 2 = 5\) সমীকরণটি সমাধান করুন।,x = 5,x = 6,x = 7,x = 8,A,২ বিয়োগ করুন: \(\frac{3x}{5} = 3\)। ৫ দ্বারা গুণ করুন: \(3x = 15\)। ৩ দ্বারা ভাগ করুন: \(x = 5\)। যাচাই: \(\frac{3(5)}{5} + 2 = 3 + 2 = 5\)।,8
Quadratic Equations,26,\(x^2 + 4x - 5 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 5 এবং -1,x = -5 এবং -1,x = 5 এবং 1,x = -5 এবং 1,D,"গুণক বিশ্লেষণ: \(x^2 + 4x - 5 = (x + 5)(x - 1) = 0\)। মূল: \(x = -5\) অথবা \(x = 1\)। যাচাই: \(x = -5\) এর জন্য, \(25 - 20 - 5 = 0\); \(x = 1\) এর জন্য, \(1 + 4 - 5 = 0\)।",6
Linear Equations,27,"একটি লঞ্চের ভাড়া ৭০ জন যাত্রীর জন্য ২,৫০০ টাকা। কেবিনের প্রতি যাত্রীর ভাড়া ডেকের ভাড়ার দ্বিগুণ। ডেকের ভাড়া ২৫ টাকা। কেবিনে কতজন যাত্রী আছে?",30,35,40,45,A,"ধরি, ডেকের যাত্রী \(d\)। কেবিনের যাত্রী: \(70 - d\)। কেবিনের ভাড়া: \(2 \times 25 = 50\) টাকা। সমীকরণ: \(25d + 50(70 - d) = 2500\)। সরলীকরণ: \(25d + 3500 - 50d = 2500\), \(-25d = -1000\), \(d = 40\)। কেবিনের যাত্রী: \(70 - 40 = 30\)। যাচাই: \(40 \times 25 + 30 \times 50 = 1000 + 1500 = 2500\)।",4
Quadratic Equations,28,\(x^2 - x - 6 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 2 এবং -3,x = -2 এবং -3,x = 2 এবং 3,x = -2 এবং 3,A,"গুণক বিশ্লেষণ: \(x^2 - x - 6 = (x + 2)(x - 3) = 0\)। মূল: \(x = -2\) অথবা \(x = 3\)। যাচাই: \(x = -2\) এর জন্য, \(4 + 2 - 6 = 0\); \(x = 3\) এর জন্য, \(9 - 3 - 6 = 0\)।",10
Linear Equations,29,\(\frac{5x}{6} - 1 = 4\) সমীকরণটি সমাধান করুন।,x = 6,x = 7,x = 8,x = 9,A,১ যোগ করুন: \(\frac{5x}{6} = 5\)। ৬ দ্বারা গুণ করুন: \(5x = 30\)। ৫ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{5(6)}{6} - 1 = 5 - 1 = 4\)।,2
Quadratic Equations,30,\(x^2 + 6x + 8 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 4 এবং 2,x = -4 এবং 2,x = 4 এবং -2,x = -4 এবং -2,D,"গুণক বিশ্লেষণ: \(x^2 + 6x + 8 = (x + 4)(x + 2) = 0\)। মূল: \(x = -4\) অথবা \(x = -2\)। যাচাই: \(x = -4\) এর জন্য, \(16 - 24 + 8 = 0\); \(x = -2\) এর জন্য, \(4 - 12 + 8 = 0\)।",7
Linear Equations,31,একটি সংখ্যা অপর একটি সংখ্যার \(\frac{2}{3}\) গুণ। তাদের যোগফল ২৫। ছোট সংখ্যাটি খুঁজুন।,10,15,20,25,A,"ধরি, বড় সংখ্যা \(y\)। ছোট সংখ্যা: \(\frac{2}{3}y\)। যোগফল: \(y + \frac{2}{3}y = 25\)। সরলীকরণ: \(\frac{5}{3}y = 25\), \(y = 15\)। ছোট সংখ্যা: \(\frac{2}{3}(15) = 10\)। যাচাই: \(15 + 10 = 25\)।",9
Quadratic Equations,32,\(x^2 - 12x + 35 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -5 এবং -7,x = 3 এবং 9,x = 4 এবং 8,x = 5 এবং 7,D,"গুণক বিশ্লেষণ: \(x^2 - 12x + 35 = (x - 5)(x - 7) = 0\)। মূল: \(x = 5\) অথবা \(x = 7\)। যাচাই: \(x = 5\) এর জন্য, \(25 - 60 + 35 = 0\); \(x = 7\) এর জন্য, \(49 - 84 + 35 = 0\)।",3
Linear Equations,33,\(\frac{x}{5} + \frac{x}{10} = 3\) সমীকরণটি সমাধান করুন।,x = 10,x = 12,x = 14,x = 16,A,"১০ দ্বারা গুণ করুন: \(2x + x = 30\)। সরলীকরণ: \(3x = 30\), \(x = 10\)। যাচাই: \(\frac{10}{5} + \frac{10}{10} = 2 + 1 = 3\)।",1
Quadratic Equations,34,\(x^2 + 2x - 3 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 3 এবং -1,x = -3 এবং -1,x = 3 এবং 1,x = -3 এবং 1,D,"গুণক বিশ্লেষণ: \(x^2 + 2x - 3 = (x + 3)(x - 1) = 0\)। মূল: \(x = -3\) অথবা \(x = 1\)। যাচাই: \(x = -3\) এর জন্য, \(9 - 6 - 3 = 0\); \(x = 1\) এর জন্য, \(1 + 2 - 3 = 0\)।",5
Linear Equations,35,\(\frac{2x}{3} + 3 = 7\) সমীকরণটি সমাধান করুন।,x = 6,x = 7,x = 8,x = 9,A,৩ বিয়োগ করুন: \(\frac{2x}{3} = 4\)। ৩ দ্বারা গুণ করুন: \(2x = 12\)। ২ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{2(6)}{3} + 3 = 4 + 3 = 7\)।,6
Quadratic Equations,36,\(x^2 - 4x - 5 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -1 এবং -5,x = 1 এবং 5,x = -1 এবং 5,x = 1 এবং -5,C,"গুণক বিশ্লেষণ: \(x^2 - 4x - 5 = (x + 1)(x - 5) = 0\)। মূল: \(x = -1\) অথবা \(x = 5\)। যাচাই: \(x = -1\) এর জন্য, \(1 + 4 - 5 = 0\); \(x = 5\) এর জন্য, \(25 - 20 - 5 = 0\)।",8
Linear Equations,37,একটি দুই অঙ্কের সংখ্যার অঙ্কগুলির যোগফল ১০। অঙ্কগুলি পাল্টালে নতুন সংখ্যা মূল সংখ্যার চেয়ে ১৮ কম হয়। সংখ্যাটি খুঁজুন।,64,73,82,91,A,"ধরি, দশক স্থানের অঙ্ক \(t\), একক স্থানের অঙ্ক \(10 - t\)। মূল সংখ্যা: \(10t + (10 - t) = 9t + 10\)। নতুন সংখ্যা: \(10(10 - t) + t = 100 - 9t\)। সমীকরণ: \(100 - 9t = (9t + 10) - 18\)। সমাধান: \(100 - 9t = 9t - 8\), \(108 = 18t\), \(t = 6\)। সংখ্যা: \(9(6) + 10 = 64\)। যাচাই: \(64 → 46\), \(64 - 18 = 46\)।",8
Quadratic Equations,38,\(x^2 + 7x + 12 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 4 এবং 3,x = -4 এবং 3,x = 4 এবং -3,x = -4 এবং -3,D,"গুণক বিশ্লেষণ: \(x^2 + 7x + 12 = (x + 4)(x + 3) = 0\)। মূল: \(x = -4\) অথবা \(x = -3\)। যাচাই: \(x = -4\) এর জন্য, \(16 - 28 + 12 = 0\); \(x = -3\) এর জন্য, \(9 - 21 + 12 = 0\)।",4
Linear Equations,39,\(\frac{4x}{5} + 1 = 5\) সমীকরণটি সমাধান করুন।,x = 5,x = 6,x = 7,x = 8,A,১ বিয়োগ করুন: \(\frac{4x}{5} = 4\)। ৫ দ্বারা গুণ করুন: \(4x = 20\)। ৪ দ্বারা ভাগ করুন: \(x = 5\)। যাচাই: \(\frac{4(5)}{5} + 1 = 4 + 1 = 5\)।,2
Quadratic Equations,40,\(x^2 - 14x + 45 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -5 এবং -9,x = 3 এবং 11,x = 4 এবং 10,x = 5 এবং 9,D,"গুণক বিশ্লেষণ: \(x^2 - 14x + 45 = (x - 5)(x - 9) = 0\)। মূল: \(x = 5\) অথবা \(x = 9\)। যাচাই: \(x = 5\) এর জন্য, \(25 - 70 + 45 = 0\); \(x = 9\) এর জন্য, \(81 - 126 + 45 = 0\)।",9
Linear Equations,41,\(\frac{2x}{3} + 4 = 8\) সমীকরণটি সমাধান করুন।,x = 6,x = 7,x = 8,x = 9,A,৪ বিয়োগ করুন: \(\frac{2x}{3} = 4\)। ৩ দ্বারা গুণ করুন: \(2x = 12\)। ২ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{2(6)}{3} + 4 = 4 + 4 = 8\)।,7
Quadratic Equations,42,\(x^2 + x - 20 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 5 এবং -4,x = -5 এবং -4,x = 5 এবং 4,x = -5 এবং 4,D,"গুণক বিশ্লেষণ: \(x^2 + x - 20 = (x + 5)(x - 4) = 0\)। মূল: \(x = -5\) অথবা \(x = 4\)। যাচাই: \(x = -5\) এর জন্য, \(25 - 5 - 20 = 0\); \(x = 4\) এর জন্য, \(16 + 4 - 20 = 0\)।",1
Linear Equations,43,\(\frac{5x}{6} + 1 = 6\) সমীকরণটি সমাধান করুন।,x = 6,x = 7,x = 8,x = 9,A,১ বিয়োগ করুন: \(\frac{5x}{6} = 5\)। ৬ দ্বারা গুণ করুন: \(5x = 30\)। ৫ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{5(6)}{6} + 1 = 5 + 1 = 6\)।,3
Quadratic Equations,44,\(x^2 + 8x + 15 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 5 এবং 3,x = -5 এবং 3,x = 5 এবং -3,x = -5 এবং -3,D,"গুণক বিশ্লেষণ: \(x^2 + 8x + 15 = (x + 5)(x + 3) = 0\)। মূল: \(x = -5\) অথবা \(x = -3\)। যাচাই: \(x = -5\) এর জন্য, \(25 - 40 + 15 = 0\); \(x = -3\) এর জন্য, \(9 - 24 + 15 = 0\)।",5
Linear Equations,45,\(\frac{x + 2}{3} + \frac{x - 1}{6} = 2\) সমীকরণটি সমাধান করুন।,x = 3,x = 4,x = 5,x = 6,A,"৬ দ্বারা গুণ করুন: \(2(x + 2) + (x - 1) = 12\)। সরলীকরণ: \(2x + 4 + x - 1 = 12\), \(3x + 3 = 12\), \(3x = 9\), \(x = 3\)। যাচাই: \(\frac{3 + 2}{3} + \frac{3 - 1}{6} = \frac{5}{3} + \frac{2}{6} = 2\)।",10
Quadratic Equations,46,\(x^2 - 5x - 14 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 2 এবং -7,x = -2 এবং -7,x = 2 এবং 7,x = -2 এবং 7,C,"গুণক বিশ্লেষণ: \(x^2 - 5x - 14 = (x + 2)(x - 7) = 0\)। মূল: \(x = -2\) অথবা \(x = 7\)। যাচাই: \(x = -2\) এর জন্য, \(4 + 10 - 14 = 0\); \(x = 7\) এর জন্য, \(49 - 35 - 14 = 0\)।",2
Linear Equations,47,একটি দুই অঙ্কের সংখ্যার অঙ্কগুলির যোগফল ৯। অঙ্কগুলি পাল্টালে নতুন সংখ্যা মূল সংখ্যার চেয়ে ২৭ কম হয়। সংখ্যাটি খুঁজুন।,63,72,81,90,A,"ধরি, দশক স্থানের অঙ্ক \(t\), একক স্থানের অঙ্ক \(9 - t\)। মূল সংখ্যা: \(10t + (9 - t) = 9t + 9\)। নতুন সংখ্যা: \(10(9 - t) + t = 90 - 9t\)। সমীকরণ: \(90 - 9t = (9t + 9) - 27\)। সমাধান: \(90 - 9t = 9t - 18\), \(108 = 18t\), \(t = 6\)। সংখ্যা: \(9(6) + 9 = 63\)। যাচাই: \(63 → 36\), \(63 - 27 = 36\)।",4
Quadratic Equations,48,\(x^2 + 9x + 20 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 5 এবং 4,x = -5 এবং 4,x = 5 এবং -4,x = -5 এবং -4,D,"গুণক বিশ্লেষণ: \(x^2 + 9x + 20 = (x + 5)(x + 4) = 0\)। মূল: \(x = -5\) অথবা \(x = -4\)। যাচাই: \(x = -5\) এর জন্য, \(25 - 45 + 20 = 0\); \(x = -4\) এর জন্য, \(16 - 36 + 20 = 0\)।",6
Linear Equations,49,\(\frac{3x}{4} + 2 = 8\) সমীকরণটি সমাধান করুন।,x = 6,x = 7,x = 8,x = 9,C,২ বিয়োগ করুন: \(\frac{3x}{4} = 6\)। ৪ দ্বারা গুণ করুন: \(3x = 24\)। ৩ দ্বারা ভাগ করুন: \(x = 8\)। যাচাই: \(\frac{3(8)}{4} + 2 = 6 + 2 = 8\)।,9
