Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,,
সংখ্যার শ্রেণীবিভাগ,19,1/7 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,1/7 একটি মূলদ সংখ্যা কারণ এটি ভগ্নাংশ রূপে লেখা যায়।,5,,
সংখ্যার শ্রেণীবিভাগ,20,নিচের কোন সংখ্যা অমূলদ?,√4,π,2,-6,B,π একটি অমূলদ সংখ্যা।,5,,
সংখ্যার শ্রেণীবিভাগ,21,-10 কোন শ্রেণীর সংখ্যা?,প্রাকৃতিক,পূর্ণসংখ্যা,মূলদ,অমূলদ,B,-10 একটি পূর্ণসংখ্যা।,6,,
সংখ্যার শ্রেণীবিভাগ,22,√18 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"√18 = 3√2, যা অমূলদ।",6,,
সংখ্যার শ্রেণীবিভাগ,23,-3/2 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,-3/2 একটি মূলদ সংখ্যা।,6,,
সংখ্যার শ্রেণীবিভাগ,24,নিচের কোন সংখ্যা বাস্তব সংখ্যা নয়?,-1,0,√-1,2/3,C,"√-1 = i, যা কাল্পনিক।",6,,
সংখ্যার শ্রেণীবিভাগ,25,√50 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"√50 = 5√2, যা অমূলদ।",6,,
সংখ্যার শ্রেণীবিভাগ,26,-7 কোন শ্রেণীর সংখ্যা?,পূর্ণসংখ্যা,প্রাকৃতিক,মূলদ,অমূলদ,A,-7 একটি পূর্ণসংখ্যা।,7,,
সংখ্যার শ্রেণীবিভাগ,27,√32 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"√32=4√2, যা অমূলদ।",7,,
সংখ্যার শ্রেণীবিভাগ,28,π + 2 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,"π অমূলদ, যোগ করলে সংখ্যা অমূলদই থাকে।",7,,
সংখ্যার শ্রেণীবিভাগ,29,-2.5 কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,"-2.5 ভগ্নাংশ আকারে প্রকাশযোগ্য, তাই মূলদ।",7,,
সংখ্যার শ্রেণীবিভাগ,30,√7 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,√7 একটি অমূলদ সংখ্যা।,7,,
সংখ্যার শ্রেণীবিভাগ,31,√12 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"√12=2√3, যা অমূলদ।",8,,
সংখ্যার শ্রেণীবিভাগ,32,-√18 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"√18 অমূলদ, ঋণাত্মক হলেও অমূলদ।",8,,
সংখ্যার শ্রেণীবিভাগ,33,2/3 + √2 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,মূলদ ও অমূলদ যোগ করলে অমূলদ হয়।,8,,
সংখ্যার শ্রেণীবিভাগ,34,√(25/36) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,"√(25/36)=5/6, যা মূলদ।",8,,
সংখ্যার শ্রেণীবিভাগ,35,-√(1/4) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,"√(1/4)=1/2 মূলদ, ঋণাত্মক হলেও মূলদ।",8,,
সংখ্যার শ্রেণীবিভাগ,36,π^2 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,"π অমূলদ, তার বর্গফলও অমূলদ।",9,,
সংখ্যার শ্রেণীবিভাগ,37,√(2 + √3) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,√(2 + √3) অমূলদ সংখ্যা।,9,,
সংখ্যার শ্রেণীবিভাগ,38,(√2 + √3) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,দুটি অমূলদ সংখ্যার যোগফল সাধারণত অমূলদ।,9,,
সংখ্যার শ্রেণীবিভাগ,39,-π/2 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"π অমূলদ, ভাগফলও অমূলদ।",9,,
সংখ্যার শ্রেণীবিভাগ,40,√(5) + 1 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,"√5 অমূলদ, যোগফলও অমূলদ।",9,,
সংখ্যার শ্রেণীবিভাগ,41,√(4 + 2√3) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,A,√(4 + 2√3) মূলদ সংখ্যা (2 + √3)।,10,,
সংখ্যার শ্রেণীবিভাগ,42,√(7 + 4√3) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,A,√(7 + 4√3) মূলদ সংখ্যা (3 + 2√3)।,10,,
সংখ্যার শ্রেণীবিভাগ,43,(√2)^√2 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,(√2)^√2 অমূলদ সংখ্যা।,10,,
সংখ্যার শ্রেণীবিভাগ,44,log2(8) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,A,"log2(8)=3, যা মূলদ।",10,,
সংখ্যার শ্রেণীবিভাগ,45,√(3 + 2√2) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,A,√(3 + 2√2) মূলদ সংখ্যা (1 + √2)।,10,,
সংখ্যার শ্রেণীবিভাগ,46,নিচের কোন সংখ্যা অমূলদ নয়?,π,√5,3/7,√3,C,3/7 একটি মূলদ সংখ্যা।,1,,
সংখ্যার শ্রেণীবিভাগ,47,-8 কোন শ্রেণীর সংখ্যা?,পূর্ণসংখ্যা,প্রাকৃতিক,মূলদ,অমূলদ,A,-8 পূর্ণসংখ্যা।,2,,
সংখ্যার শ্রেণীবিভাগ,48,√36 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,√36=6 মূলদ সংখ্যা।,3,,
সংখ্যার শ্রেণীবিভাগ,49,-√2 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"√2 অমূলদ, ঋণাত্মক হলেও অমূলদ।",4,,
সংখ্যার শ্রেণীবিভাগ,50,1/5 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,1/5 মূলদ সংখ্যা।,5,,
সংখ্যার শ্রেণীবিভাগ,51,√(1/9) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,√(1/9)=1/3 মূলদ।,6,,
সংখ্যার শ্রেণীবিভাগ,52,π এর দশমিক সংখ্যা কি?,সমাপ্ত,অসীম,পূর্ণসংখ্যা,প্রাকৃতিক,B,π এর দশমিক অসীম এবং পুনরাবৃত্ত নয়।,7,,
সংখ্যার শ্রেণীবিভাগ,53,√(8) কে কিভাবে শ্রেণীবদ্ধ করবেন?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,√8=2√2 অমূলদ সংখ্যা।,8,,
সংখ্যার শ্রেণীবিভাগ,54,-2/7 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,-2/7 একটি মূলদ সংখ্যা।,9,,
সংখ্যার শ্রেণীবিভাগ,55,√(2) + √(8) কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,√2 + √8 অমূলদ।,10,,
সংখ্যার শ্রেণীবিভাগ,56,নিচের কোনটি বাস্তব সংখ্যার অংশ নয়?,মূলদ সংখ্যা,অমূলদ সংখ্যা,কাল্পনিক সংখ্যা,পূর্ণসংখ্যা,C,কাল্পনিক সংখ্যা বাস্তব সংখ্যা নয়।,1,,
সংখ্যার শ্রেণীবিভাগ,57,0 কে কোন শ্রেণীতে অন্তর্ভুক্ত করা হয়?,প্রাকৃতিক সংখ্যা,পূর্ণসংখ্যা,মূলদ সংখ্যা,অমূলদ সংখ্যা,B,0 পূর্ণসংখ্যার অন্তর্ভুক্ত।,2,,
সংখ্যার শ্রেণীবিভাগ,58,-1/3 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,A,-1/3 মূলদ সংখ্যা।,3,,
সংখ্যার শ্রেণীবিভাগ,59,√(18) এর শ্রেণীবিন্যাস কী?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,√18 অমূলদ সংখ্যা।,4,,
সংখ্যার শ্রেণীবিভাগ,60,π + 1 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,কাল্পনিক,B,"π অমূলদ, যোগফলও অমূলদ।",5,,
দশমিক ভগ্নাংশ,61,0.5 কে ভগ্নাংশ হিসেবে লিখলে কী হয়?,1/2,2/5,5/10,3/4,A,0.5 = 1/2।,1,,
দশমিক ভগ্নাংশ,62,0.75 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/4,7/8,2/3,1/4,A,0.75 = 3/4।,1,,
দশমিক ভগ্নাংশ,63,1/4 কে দশমিক আকারে প্রকাশ করলে কত হয়?,0.2,0.25,0.4,0.5,B,1/4 = 0.25।,1,,
দশমিক ভগ্নাংশ,64,0.125 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/6,1/8,1/4,1/5,B,0.125 = 1/8।,1,,
দশমিক ভগ্নাংশ,65,0.6 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/5,2/5,4/7,1/3,A,0.6 = 3/5।,1,,
দশমিক ভগ্নাংশ,66,2/5 এর দশমিক মান কত?,0.25,0.4,0.5,0.2,B,2/5 = 0.4।,1,,
দশমিক ভগ্নাংশ,67,0.2 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/5,2/5,1/3,3/5,A,0.2 = 1/5।,2,,
দশমিক ভগ্নাংশ,68,0.333... এর ভগ্নাংশ রূপ কী?,1/2,1/3,1/4,1/5,B,0.333... = 1/3।,2,,
দশমিক ভগ্নাংশ,69,3/10 এর দশমিক রূপ কত?,0.3,0.03,3.0,0.33,A,3/10 = 0.3।,2,,
দশমিক ভগ্নাংশ,70,0.125 এর ভগ্নাংশ রূপ কী?,1/6,1/8,1/5,1/10,B,0.125 = 1/8।,2,,
দশমিক ভগ্নাংশ,71,0.45 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,9/20,5/11,4/9,1/2,A,0.45 = 9/20।,2,,
দশমিক ভগ্নাংশ,72,7/8 এর দশমিক মান কত?,0.875,0.78,0.85,0.72,A,7/8 = 0.875।,2,,
দশমিক ভগ্নাংশ,73,0.9 এর ভগ্নাংশ রূপ কী?,9/10,1/9,10/9,1/10,A,0.9 = 9/10।,3,,
দশমিক ভগ্নাংশ,74,5/16 এর দশমিক রূপ কত?,0.3125,0.325,0.375,0.35,A,5/16 = 0.3125।,3,,
দশমিক ভগ্নাংশ,75,0.6 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/5,2/7,1/2,3/8,A,0.6 = 3/5।,3,,
দশমিক ভগ্নাংশ,76,1/20 এর দশমিক মান কত?,0.05,0.2,0.02,0.5,A,1/20 = 0.05।,3,,
দশমিক ভগ্নাংশ,77,0.875 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,7/8,3/4,5/6,6/7,A,0.875 = 7/8।,3,,
দশমিক ভগ্নাংশ,78,3/25 এর দশমিক মান কত?,0.12,0.13,0.11,0.15,A,3/25 = 0.12।,3,,
দশমিক ভগ্নাংশ,79,0.04 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/25,1/20,1/30,1/40,A,0.04 = 1/25।,4,,
দশমিক ভগ্নাংশ,80,9/50 এর দশমিক মান কত?,0.16,0.19,0.18,0.15,C,9/50 = 0.18।,4,,
দশমিক ভগ্নাংশ,81,0.625 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,7/8,3/8,5/8,1/2,C,0.625 = 5/8।,4,,
দশমিক ভগ্নাংশ,82,11/20 এর দশমিক রূপ কত?,0.6,0.5,0.55,0.45,C,11/20 = 0.55।,4,,
দশমিক ভগ্নাংশ,83,0.125 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/5,1/6,1/8,1/4,C,0.125 = 1/8।,4,,
দশমিক ভগ্নাংশ,84,3/40 এর দশমিক মান কত?,0.07,0.08,0.075,0.06,C,3/40 = 0.075।,4,,
দশমিক ভগ্নাংশ,85,0.875 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,5/8,6/8,7/8,8/7,C,0.875 = 7/8।,5,,
দশমিক ভগ্নাংশ,86,19/50 এর দশমিক রূপ কত?,0.37,0.39,0.38,0.35,C,19/50 = 0.38।,5,,
দশমিক ভগ্নাংশ,87,0.3 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/10,2/10,3/10,5/10,C,0.3 = 3/10।,5,,
দশমিক ভগ্নাংশ,88,13/20 এর দশমিক মান কত?,0.7,0.6,0.65,0.55,C,13/20 = 0.65।,5,,
দশমিক ভগ্নাংশ,89,0.2 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/3,1/4,1/5,2/5,C,0.2 = 1/5।,5,,
দশমিক ভগ্নাংশ,90,7/16 এর দশমিক রূপ কত?,0.4,0.45,0.4375,0.475,C,7/16 = 0.4375।,5,,
দশমিক ভগ্নাংশ,91,0.11 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,10/100,1/11,11/100,1/9,C,0.11 = 11/100।,6,,
দশমিক ভগ্নাংশ,92,17/25 এর দশমিক মান কত?,0.65,0.67,0.68,0.7,C,17/25 = 0.68।,6,,
দশমিক ভগ্নাংশ,93,0.625 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,7/8,3/5,5/8,1/2,C,0.625 = 5/8।,6,,
দশমিক ভগ্নাংশ,94,9/20 এর দশমিক রূপ কত?,0.5,0.4,0.45,0.35,C,9/20 = 0.45।,6,,
দশমিক ভগ্নাংশ,95,0.4 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/5,1/2,2/5,1/4,C,0.4 = 2/5।,6,,
দশমিক ভগ্নাংশ,96,5/8 এর দশমিক রূপ কত?,0.6,0.75,0.625,0.7,C,5/8 = 0.625।,6,,
দশমিক ভগ্নাংশ,97,0.02 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/30,1/40,1/50,1/60,C,0.02 = 1/50।,7,,
দশমিক ভগ্নাংশ,98,3/5 এর দশমিক রূপ কত?,0.7,0.5,0.6,0.8,C,3/5 = 0.6।,7,,
দশমিক ভগ্নাংশ,99,0.08 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,2/25,1/20,3/25,1/10,A,0.08 = 2/25।,7,,
দশমিক ভগ্নাংশ,100,7/40 এর দশমিক রূপ কত?,0.175,0.17,0.18,0.16,A,7/40 = 0.175।,7,,
দশমিক ভগ্নাংশ,101,0.55 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,11/20,9/20,13/20,10/20,A,0.55 = 11/20।,7,,
দশমিক ভগ্নাংশ,102,12/25 এর দশমিক রূপ কত?,0.48,0.45,0.5,0.42,A,12/25 = 0.48।,7,,
দশমিক ভগ্নাংশ,103,0.375 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/8,3/7,2/5,1/3,A,0.375 = 3/8।,8,,
দশমিক ভগ্নাংশ,104,5/16 এর দশমিক রূপ কত?,0.3125,0.3,0.35,0.25,A,5/16 = 0.3125।,8,,
দশমিক ভগ্নাংশ,105,0.85 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,17/20,15/20,16/20,18/20,A,0.85 = 17/20।,8,,
দশমিক ভগ্নাংশ,106,9/25 এর দশমিক রূপ কত?,0.36,0.35,0.4,0.33,A,9/25 = 0.36।,8,,
দশমিক ভগ্নাংশ,107,0.125 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/8,1/10,1/9,1/6,A,0.125 = 1/8।,8,,
দশমিক ভগ্নাংশ,108,13/50 এর দশমিক রূপ কত?,0.26,0.25,0.27,0.24,A,13/50 = 0.26।,8,,
দশমিক ভগ্নাংশ,109,0.7 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,7/10,3/5,2/3,4/5,A,0.7 = 7/10।,8,,
দশমিক ভগ্নাংশ,110,3/8 এর দশমিক রূপ কত?,0.375,0.37,0.38,0.36,A,3/8 = 0.375।,9,,
দশমিক ভগ্নাংশ,111,0.05 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/20,1/15,1/10,1/25,A,0.05 = 1/20।,9,,
দশমিক ভগ্নাংশ,112,17/40 এর দশমিক রূপ কত?,0.425,0.43,0.42,0.44,A,17/40 = 0.425।,9,,
দশমিক ভগ্নাংশ,113,0.625 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,5/8,3/5,1/2,7/8,A,0.625 = 5/8।,9,,
দশমিক ভগ্নাংশ,114,11/25 এর দশমিক রূপ কত?,0.44,0.45,0.43,0.46,A,11/25 = 0.44।,9,,
দশমিক ভগ্নাংশ,115,0.18 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,9/50,1/5,3/10,2/9,A,0.18 = 9/50।,9,,
দশমিক ভগ্নাংশ,116,7/20 এর দশমিক রূপ কত?,0.35,0.3,0.4,0.32,A,7/20 = 0.35।,10,,
দশমিক ভগ্নাংশ,117,0.9 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,9/10,1/9,8/10,10/9,A,0.9 = 9/10।,10,,
দশমিক ভগ্নাংশ,118,5/12 এর দশমিক রূপ কত?,0.4167,0.42,0.41,0.43,A,5/12 ≈ 0.4167।,10,,
দশমিক ভগ্নাংশ,119,0.33 কে ভগ্নাংশে রূপান্তর করলে কী হয়?,33/100,1/3,1/2,1/4,B,0.33 প্রায় 1/3।,10,,
দশমিক ভগ্নাংশ,120,3/11 এর দশমিক রূপ কত?,0.2727,0.27,0.28,0.26,A,3/11 ≈ 0.2727 (পুনরাবৃত্ত)।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,121,0.333... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/3,1/2,2/3,3/4,A,0.333... হল 1/3 এর পুনরাবৃত্ত দশমিক রূপ।,10,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,122,0.666... এর ভগ্নাংশ রূপ কী?,2/3,1/3,3/4,1/2,A,0.666... হল 2/3 এর পুনরাবৃত্ত দশমিক রূপ।,1,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,123,0.111... এর ভগ্নাংশ রূপ কী?,1/9,1/11,1/10,1/8,A,0.111... হল 1/9 এর পুনরাবৃত্ত দশমিক রূপ।,1,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,124,0.999... এর মান কত?,1,0.9,0.99,0.999,A,0.999... আসলে 1 এর সমান।,1,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,125,0.1212... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,12/99,1/8,2/11,11/12,A,0.1212... হল 12/99 এর পুনরাবৃত্ত দশমিক রূপ।,1,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,126,0.4545... এর ভগ্নাংশ রূপ কী?,45/99,5/11,4/9,9/20,A,0.4545... হল 45/99 এর পুনরাবৃত্ত দশমিক রূপ।,1,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,127,0.2727... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,3/11,1/4,2/9,1/3,A,0.2727... হল 3/11 এর পুনরাবৃত্ত দশমিক রূপ।,2,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,128,0.8181... এর ভগ্নাংশ রূপ কী?,9/11,8/10,7/9,1/2,A,0.8181... হল 9/11 এর পুনরাবৃত্ত দশমিক রূপ।,2,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,129,0.0909... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,1/11,9/99,1/10,9/10,A,0.0909... হল 1/11 এর পুনরাবৃত্ত দশমিক রূপ।,2,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,130,0.7272... এর মান কত?,8/11,7/9,5/7,3/8,A,0.7272... হল 8/11 এর পুনরাবৃত্ত দশমিক রূপ।,2,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,131,0.6363... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,7/11,6/10,5/8,3/7,A,0.6363... হল 7/11 এর পুনরাবৃত্ত দশমিক রূপ।,3,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,132,0.5454... এর ভগ্নাংশ রূপ কী?,6/11,5/10,4/9,7/13,A,0.5454... হল 6/11 এর পুনরাবৃত্ত দশমিক রূপ।,3,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,133,0.1818... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,2/11,3/16,1/5,4/21,A,0.1818... হল 2/11 এর পুনরাবৃত্ত দশমিক রূপ।,3,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,134,0.8787... এর মান কত?,87/99,8/9,7/11,5/8,A,0.8787... হল 87/99 এর পুনরাবৃত্ত দশমিক রূপ।,3,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,135,0.3636... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,4/11,5/12,3/10,2/9,A,0.3636... হল 4/11 এর পুনরাবৃত্ত দশমিক রূপ।,3,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,136,0.1515... এর ভগ্নাংশ রূপ কী?,5/33,3/22,4/31,2/15,A,0.1515... হল 5/33 এর পুনরাবৃত্ত দশমিক রূপ।,3,,
পুনরাবৃত্ত দশমিক ভগ্নাংশ,137,0.636363... কে ভগ্নাংশে রূপান্তর করলে কী হয়?,7/11,6/11,5/12,4/9,A,0.636363... হল 7/11 এর পুনরাবৃত্ত দশমিক রূপ।,4,,
