Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Column1,Column2,Column3,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12
সরল সহসমীকরণের সমাধান,31,ইলিমিনেশন পদ্ধতি ব্যবহার করে সমাধান করুন: 3x + 4y = 13  2x - 3y = 1। x এর মান কত?,2,3,4,5,B,দুটি সমীকরণ যোগ করলে  5x + y = 14। প্রথমটি থেকে বিয়োগ করলে  x - 7y = 12। সমাধান: x = 3  y = 1।,6,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,32,"নিচের সহসমীকরণ সমাধান করুন: 6x - 2y = 10  3x + y = 8। (x, y) এর মান কত?","(2, 2)","(1, 7)","(3, -1)","(2, -1)",A,প্রথম সমীকরণকে 3 দিয়ে ভাগ করলে  2x - 2y/3 = 10/3। দ্বিতীয় সাথে যোগ করলে  5x = 10  x = 2। y = 2।,7,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,33,সাবস্টিউশন পদ্ধতি ব্যবহার করে সমাধান করুন: x - 3y = 4  2x + y = 7। x এর মান কত?,5,6,7,8,B,প্রথম থেকে x = 3y + 4। দ্বিতীয়ে রাখলে  2(3y + 4) + y = 7  তাই 7y + 8 = 7  y = -1/7। x = 3(-1/7) + 4 ≈ 6।,8,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,34,ক্রস-মাল্টিপ্লিকেশন পদ্ধতি ব্যবহার করে সমাধান করুন: 3x + 2y = 11  2x + 5y = 9। y এর মান কত?,1,2,3,4,A,x = (b_1c_2 - b_2c_1)/(a_1b_2 - a_2b_1) = (3 \cdot 9 - 2 \cdot 11)/(2 \cdot 5 - 3 \cdot 2) = (27 - 22)/(10 - 6) = 5/4। y = (c_1a_2 - c_2a_1)/(10 - 6) = 1।,9,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,35,"নিচের সহসমীকরণ সমাধান করুন: 7x - 3y = 16  4x + 5y = 13। (x,  y) এর মান কত?","(2, 1)","(1, 2)","(3, -1)","(2, -1)",A,ইলিমিনেশন: 28x - 12y = 64  12x + 15y = 39। যোগ করলে  40x + 3y = 103। সমাধান: x = 2   y = 1।,10,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,36,নিচের সহসমীকরণ সমাধান করুন: x + y = 3  2x + y = 4। x এর মান কত?,1,2,3,4,A,দ্বিতীয় থেকে বিয়োগ করলে  x = 1।,1,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,37,সাবস্টিউশন পদ্ধতি ব্যবহার করে সমাধান করুন: x - y = 2,1,2,3,4,A,প্রথম থেকে x = y + 2। দ্বিতীয়ে রাখলে  (y + 2) + 2y = 5   তাই 3y + 2 = 5   y = 1।,2,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,38,ইলিমিনেশন পদ্ধতি ব্যবহার করে সমাধান করুন: 2x + 3y = 7  x - y = 1। x এর মান কত?,2,3,4,5,A,দ্বিতীয় সমীকরণকে 2 দিয়ে গুণ করে  2x - 2y = 2। প্রথম থেকে বিয়োগ করলে   5y = 5  y = 1। x = 2।,3,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,39,"নিচের সহসমীকরণ সমাধান করুন: 3x + 2y = 8  x + y = 3। (x, y) এর মান কত?","(2,  1)","(1, 2)","(3, 0)","(0, 3)",A,দ্বিতীয় থেকে x = 3 - y। প্রথমে রাখলে  3(3 - y) + 2y = 8  তাই y = 1  x = 2।,4,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,40,সাবস্টিউশন পদ্ধতি ব্যবহার করে সমাধান করুন: 4x - 3y = 1  x + 2y = 7। y এর মান কত?,1,2,3,4,B,দ্বিতীয় থেকে x = 7 - 2y। প্রথমে রাখলে  4(7 - 2y) - 3y = 1  তাই 28 - 11y = 1  y = 2।,5,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,41,ইলিমিনেশন পদ্ধতি ব্যবহার করে সমাধান করুন: 3x - 5y = 1  2x + 3y = 11। x এর মান কত?,2,3,4,5,B,দুটি সমীকরণ যোগ করলে  5x - 2y = 12। প্রথমে রাখলে   3x - 5y = 1। সমাধান: x = 3  y = 2।,6,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,42,"নিচের সহসমীকরণ সমাধান করুন: 6x + y = 13  4x - 3y = 1। (x ,  y) এর মান কত?","(2, 1)","(1, 7)","(3, -1)","(2, -1)",A,প্রথম সমীকরণকে 3 দিয়ে গুণ করে  18x + 3y = 39। দ্বিতীয় সাথে যোগ করলে  22x = 40  x = 40/22 ≈ 2। y = 1।,7,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,43,সাবস্টিউশন পদ্ধতি ব্যবহার করে সমাধান করুন: x + 4y = 7  2x - y = 5। x এর মান কত?  2x - 5y = -1। y এর মান কত?,1,2,3,4,C,দ্বিতীয় থেকে 2x = y + 5। প্রথমে রাখলে  (y + 5)/2 + 4y = 7   তাই y = 3/2। x = 7 - 4(3/2) = 1।,8,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,44,ক্রস-মাল্টিপ্লিকেশন পদ্ধতি ব্যবহার করে সমাধান করুন: 4x + 3y = 19,3,4,5,6,A,x = (3 \cdot -1 - 5 \cdot 19)/(4 \cdot -5 - 2 \cdot 3) = (-98)/(-26) = 7/2। y = (4 \cdot -1 - 2 \cdot 19)/(-26) = 3।,9,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,45,"নিচের সহসমীকরণ সমাধান করুন: 9x - 2y = 17  3x + 4y = 11। (x, y) এর মান কত?","(1, 2)","(2, 1)","(3, -1)","(1, -2)",B,ইলিমিনেশন: 27x - 6y = 51  9x + 12y = 33। যোগ করলে  36x + 6y = 84   x = 2  y = 1।,10,,,,,,,,,,,,,
লৈখিক পদ্ধতি,51,নিচের সহসমীকরণের ছেদ বিন্দু কী: x + y = 4  x - y = 2?,"(3,1)","(1, 3)","(2, 2)","(4, 0)",A,"দুটি সমীকরণ যোগ করলে  2x = 6   তাই x = 3। প্রথম সমীকরণে  3 + y = 4  তাই y = 1। গ্রাফিকালভাবে  (3, 1) ছেদ বিন্দু।",1,,,,,,,,,,,,,
লৈখিক পদ্ধতি,52,নিচের সহসমীকরণ গ্রাফে কীভাবে দেখানো যায়: 2x + y = 5  x + y = 3?,দুটি সমান্তরাল রেখা,দুটি ছেদকারী রেখা,একটি রেখা,কোন রেখা নয়,B,2x + y = 5 এবং x + y = 3 এর ঢাল ভিন্ন (m_1 = -2  m_2 = -1)  তাই ছেদকারী রেখা।,2,,,,,,,,,,,,,
লৈখিক পদ্ধতি,53,2x - y = 4 সমীকরণটির y-ইন্টারসেপ্ট কত?,4,-4,2,-2,B,x = 0 রাখলে  -y = 4 তাই y = -4।,3,,,,,,,,,,,,,
লৈখিক পদ্ধতি,54,নিচের সহসমীকরণের ছেদ বিন্দু কী: 3x + 2y = 12  2x + 3y = 13?,"(2, 3)","(3, 2)","(4, 1)","(1, 4)",A,"ইলিমিনেশন: 3x + 2y = 12 এবং 2x + 3y = 13 যোগ করলে  5x + 5y = 25   তাই x + y = 5। বিয়োগ করলে  x - y = -1। সমাধান: x = 2   y = 3। গ্রাফে  (2, 3)",4,,,,,,,,,,,,,
লৈখিক পদ্ধতি,55,যদি 2x + 3y = 6 এবং 4x + 6y = 12 গ্রাফে আঁকা হয়  তবে কী দেখা যায়?,একটি রেখা,দুটি সমান্তরাল রেখা,দুটি ছেদকারী রেখা,কোন রেখা নয়,A,দ্বিতীয় সমীকরণকে 2 দিয়ে ভাগ করলে 2x + 3y = 6  যা প্রথম সমীকরণের সমান। তাই  গ্রাফে একটি রেখা দেখা যায়।,5,,,,,,,,,,,,,
লৈখিক পদ্ধতি,56,নিচের সহসমীকরণের গ্রাফিকাল সমাধান কী: x + 2y = 5  2x - y = 4?,"(3, 1)","(1, 2)",(2.  1.5),"(4, 0.5)",C,"দ্বিতীয় থেকে  y = 2x - 4। প্রথমে রাখলে  x + 2(2x - 4) = 5  অতএব x + 4x - 8 = 5   তাই 5x = 13  x = 2.6। y = 2(2.6) - 4 = 1.2। নিকটতম: (2, 1.5)",6,,,,,,,,,,,,,
লৈখিক পদ্ধতি,57,3x + y = 9 এর ঢাল কত?,-3/2,3/2,-2/3,2/3,A,y = -3x/2 + 3  তাই ঢাল = -3/2।,7,,,,,,,,,,,,,
লৈখিক পদ্ধতি,58,নিচের সহসমীকরণ গ্রাফে কোন সমাধান নেই: x + y = 2  kx + ky = 5। k এর মান কত?,1,2,3,4,A,কোন সমাধান না থাকার জন্য  a_1/a_2 = 2/k  b_1/b_2 = -3/6 = -1/2  c_1/c_2 = 5/10 = 1/2। তাই  2/k = -1/2  অতএব k = -4।  1/k = 1/k ≠ 2/5  তাই k = 1।,8,,,,,,,,,,,,,
লৈখিক পদ্ধতি,59,যদি 2x - y = 3 এবং x + y = 6 গ্রাফে আঁকা হয়  তবে ছেদ বিন্দু কী?,"(3, 3)","(2, 4)","(4, 2)","(1,  5)",A,"দুটি সমীকরণ যোগ করলে  3x = 9  তাই x = 3। দ্বিতীয় সমীকরণে  3 + y = 6  তাই y = 3। ছেদ বিন্দু (3, 3)",9,,,,,,,,,,,,,
লৈখিক পদ্ধতি,60,নিচের সহসমীকরণের গ্রাফে কতগুলি সমাধান আছে: 2x + 3y = 6  4x + 6y = 12?,একটি,অসীম,কোনটিই নয়,দুটি,B,দ্বিতীয় সমীকরণকে 2 দিয়ে ভাগ করলে 2x + 3y = 6  যা প্রথম সমীকরণের সমান। তাই  গ্রাফে একটি রেখা  অসীম সমাধান।,10,,,,,,,,,,,,,
লৈখিক পদ্ধতি,61,নিচের সহসমীকরণের ছেদ বিন্দু কী: x + y = 7  x - y = 1?,"(4, 3)","(3, 4)","(2, 5)","(5, 2)",A,"দুটি সমীকরণ যোগ করলে  2x = 8   তাই x = 4। y = 3। গ্রাফে  (4, 3)।",1,,,,,,,,,,,,,
লৈখিক পদ্ধতি,62,নিচের সহসমীকরণ গ্রাফে কীভাবে দেখানো যায়: x + y = 6  2x + 2y = 12?,দুটি সমান্তরাল রেখা,দুটি ছেদকারী রেখা,একটি রেখা,কোন রেখা নয়,C,দ্বিতীয় সমীকরণকে 2 দিয়ে ভাগ করলে x + y = 6  যা প্রথম সমীকরণের সমান।,2,,,,,,,,,,,,,
লৈখিক পদ্ধতি,63,3x - 2y = 4 সমীকরণটির y-ইন্টারসেপ্ট কত?,-2,2,-4,4,A,x = 0 রাখলে  -y = 4 তাই y = -4।  তাই y = -2।,3,,,,,,,,,,,,,
লৈখিক পদ্ধতি,64,নিচের সহসমীকরণের ছেদ বিন্দু কী: 2x + y = 5  3x - 2y = 4?,"(1, 3)","(2, 1)","(3, -1)","(0, 5)",B,দুটি সমীকরণ যোগ করলে  5x - y = 9। প্রথমে রাখলে  2x + y = 5。 সমাধান: x = 2  y = 1।,4,,,,,,,,,,,,,
লৈখিক পদ্ধতি,65,যদি 2x - 3y = 1 এবং 4x - 6y = 2 গ্রাফে আঁকা হয়  তবে কী দেখা যায়?,একটি রেখা,দুটি সমান্তরাল রেখা,দুটি ছেদকারী রেখা,কোন রেখা নয়,B,দ্বিতীয় সমীকরণকে 2 দিয়ে ভাগ করলে 2x - 3y = 1  যা প্রথম সমীকরণের সমান নয়  তবে সমান্তরাল।,5,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,76,একটি বইয়ের দাম ৪ টাকা এবং একটি কলমের দাম ২ টাকা। ৩টি বই এবং ৪টি কলমের মোট মূল্য ১৪ টাকা হলে  সমীকরণ কী?,3x + 4y = 14,4x + 2y = 14,3x + 2y = 14,4x + 4y = 14,A,৩টি বইয়ের দাম = 3 \cdot 4 = 12 টাকা  ৪টি কলমের দাম = 4 \cdot 2 = 8 টাকা। মোট ১৪ টাকা  তাই 3x + 4y = 14।,1,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,77,একটি আপেল ৩ টাকা এবং একটি কমলা ২ টাকা। ৫টি আপেল এবং ৩টি কমলার মূল্য ১৭ টাকা হলে  কমলার দাম y কত?,2,3,4,5,A,সমীকরণ: 5x + 3y = 17  x = 3 (আপেলের দাম ৩ টাকা ধরা হয়েছে)। 5 \cdot 3 + 3y = 17  তাই 3y = 2  y = 2/3 ≈ 2।,2,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,78,দুই বন্ধু একটি কাজ ৪ দিনে এবং ৬ দিনে করতে পারে। একসাথে কত দিন লাগবে?,2.4 দিন,2.5 দিন,2.6 দিন,2.7 দিন,A,হার: 1/4 + 1/6 = 5/12। সময় = 12/5 = 2.4 দিন।,3,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,79,একটি আয়তক্ষেত্রের দৈর্ঘ্য x এবং প্রস্থ y। পরিসীমা ১৪ মিটার  ক্ষেত্রফল ১২ বর্গমিটার হলে  x কত?,4,5,6,7,C,সমীকরণ: 2(x + y) = 14  xy = 12। x + y = 7  y = 12/x। x + 12/x = 7  x^2 - 7x + 12 = 0। x = 3  4। d = 6।,4,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,80,একটি নৌকা স্রোতের বিপরীতে ১০ কিমি/ঘণ্টা  সাথে ১৪ কিমি/ঘণ্টা। নৌকার গতি x কত?,10,11,12,13,C,x - y = 10  x + y = 14। 2x = 24  x = 12।,5,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,81,একটি বাস ভাড়া Tk. ৬০০০। ৪ জন না গেলে প্রতি মাথায় Tk. ৫ বাড়ে। মোট যাত্রী কত?,60,50,40,30,A,qx = 6000  (x - 4)(q + 5) = 6000। q = 6000/x  x^2 - 4x - 1500 = 0। x = 50।,6,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,82,দুই ব্যক্তির বয়সের অনুপাত ২:৩। ৪ বছর পর ৩:৪। বর্তমান বয়স x  y হলে x কত?,8,10,12,14,B,2x = 3y  3(x + 4) = 4(y + 4)。 2x = 3y  3x - 4y = 4。 x = 10  y = 15।,7,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,83,একটি পাইপ ১০ মিনিটে ভরে  আরেকটি ১৫ মিনিটে খালি করে। ৩০ মিনিটে ভরে। ধারণক্ষমতা কত?,50 লিটার,60 লিটার,70 লিটার,80 লিটার,A,y = 10x  y = 30(x - 30/15)。 10x = 30(x - 2)  x = 3  y = 30।,8,,,,,,,,,,,,,
বাস্তবভিত্তিক সমস্যার সহসমীকরণ গঠন ও সমাধান,84,৩টি শার্ট ও ২টি প্যান্ট ১৮০০ টাকা  ২টি শার্ট ও ৩টি প্যান্ট ১৭৫০ টাকা। শার্টের দাম x কত?,500,600,700,800,B,3x + 2y = 1800  2x + 3y = 1750। 9x + 6y = 5400   6x + 9y = 5250。 বিয়োগ: 3x - 3y = 150  x = 600।,9,,,,,,,,,,,,,
