Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,34,"(3, 4) এবং (-3, -4) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√100,√80,√90,√70,A,দূরত্ব সূত্র: √[(-3-3)² + (-4-4)²] = √(36 + 64) = √100 = 10,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,35,"(4, 1) এবং (4, 5) দিয়ে গঠিত রেখাংশের দৈর্ঘ্য কত?",2,3,4,5,C,দূরত্ব সূত্র: √[(4-4)² + (5-1)²] = √16 = 4,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,36,2x - y + 4 = 0 রেখার ঢাল কত?,2,-2,1/2,-1/2,A,"সমীকরণকে y = mx + c আকারে রূপান্তর: y = 2x + 4, ঢাল = 2",3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,37,"(0, 0), (5, 0), (0, 3) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",7.5,8,10,12,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 5 × 3 = 7.5,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,38,"(-1, 3) এবং (5, -3) বিন্দুদ্বয়ের মধ্যবিন্দু কী?","(2, 0)","(2, 1)","(3, 0)","(3, 1)",A,"মধ্যবিন্দু: [(-1+5)/2, (3-3)/2] = (2, 0)",2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,39,"(2, -3) এবং (-4, 5) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√100,√80,√90,√70,A,দূরত্ব সূত্র: √[(-4-2)² + (5-(-3))²] = √(36 + 64) = √100 = 10,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,40,"(3, 2) দিয়ে গমনকারী এবং ঢাল -1 হলে রেখার সমীকরণ কী?",y = -x + 5,y = -x + 3,y = -x + 1,y = -x + 7,A,ঢাল-বিন্দু সূত্র: y - 2 = -1(x - 3) → y = -x + 5,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,41,"(0, 0), (7, 0), (0, 4) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",14,12,10,16,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 7 × 4 = 14,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,42,"(4, 5) এবং (-2, -3) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√100,√80,√90,√70,A,দূরত্ব সূত্র: √[(-2-4)² + (-3-5)²] = √(36 + 64) = √100 = 10,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,43,"(1, 2) এবং (5, 2) দিয়ে গঠিত রেখাংশের দৈর্ঘ্য কত?",2,3,4,5,C,দূরত্ব সূত্র: √[(5-1)² + (2-2)²] = √16 = 4,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,44,x + 2y - 4 = 0 রেখার ঢাল কত?,1/2,-1/2,2,-2,B,"সমীকরণকে y = mx + c আকারে রূপান্তর: 2y = -x + 4 → y = (-1/2)x + 2, ঢাল = -1/2",3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,45,"(0, 0), (6, 0), (0, 5) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",15,12,10,18,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 6 × 5 = 15,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,46,"(-3, 4) এবং (3, -2) বিন্দুদ্বয়ের মধ্যবিন্দু কী?","(0, 1)","(1, 1)","(0, 2)","(1, 2)",A,"মধ্যবিন্দু: [(-3+3)/2, (4-2)/2] = (0, 1)",2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,47,"(2, -1) এবং (-4, 3) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√50,√52,√48,√46,A,দূরত্ব সূত্র: √[(-4-2)² + (3-(-1))²] = √(36 + 16) = √52,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,48,"(4, 3) দিয়ে গমনকারী এবং ঢাল 2 হলে রেখার সমীকরণ কী?",y = 2x - 5,y = 2x - 3,y = 2x - 1,y = 2x + 1,A,ঢাল-বিন্দু সূত্র: y - 3 = 2(x - 4) → y = 2x - 5,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,49,"(0, 0), (4, 0), (0, 6) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",12,10,8,14,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 4 × 6 = 12,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,50,"(5, -2) এবং (-1, 4) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√72,√68,√70,√66,A,দূরত্ব সূত্র: √[(-1-5)² + (4-(-2))²] = √(36 + 36) = √72,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,51,"(2, 1) এবং (6, 4) বিন্দুদ্বয়ের সংযোগকারী রেখাকে 1:2 অনুপাতে অভ্যন্তরীণভাবে বিভক্তকারী বিন্দুর স্থানাঙ্ক কত?","(10/3, 2)","(3, 2)","(4, 3)","(5, 2)",A,"বিভক্তকারী বিন্দু সূত্র: [(1×6 + 2×2)/3, (1×4 + 2×1)/3] = (10/3, 2)",8
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,53,"একটি ত্রিভুজের শীর্ষবিন্দুগুলি (0, 0), (4, 0), এবং (0, 3)। এই ত্রিভুজের অন্তর্বৃত্তের ব্যাসার্ধ কত?",1,1.5,2,0.5,A,অন্তর্বৃত্তের ব্যাসার্ধ = ক্ষেত্রফল/অর্ধপরিসীমা = (6)/(6) = 1,8
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,54,"(1, 2) বিন্দু থেকে 4x + 3y + 5 = 0 রেখার দূরত্ব এবং (3, -4) বিন্দু থেকে একই রেখার দূরত্বের অনুপাত কত?",1:2,2:1,3:4,4:3,A,"দূরত্ব সূত্র: |4(1)+3(2)+5|/5 = 3, |4(3)+3(-4)+5|/5 = 1.5 → অনুপাত 2:1",9
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,55,"একটি রেখা x-অক্ষকে (3, 0) এবং y-অক্ষকে (0, 4) বিন্দুতে ছেদ করে। রেখাটির সমীকরণ এবং মূলবিন্দু থেকে এর দূরত্ব কত?","4x + 3y - 12 = 0, 12/5","3x + 4y - 12 = 0, 12/5","4x - 3y + 12 = 0, 12/5","3x - 4y + 12 = 0, 12/5",A,রেখার সমীকরণ: x/3 + y/4 = 1 → 4x + 3y - 12 = 0; দূরত্ব = | -12 | / 5 = 12/5,10
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,56,"(2, 3) এবং (4, 7) বিন্দুদ্বয়ের সংযোগকারী রেখাকে y = 2x + 1 রেখাটি কোন অনুপাতে বিভক্ত করে?",1:3,3:1,2:1,1:2,A,বিভক্তকারী বিন্দুর স্থানাঙ্ক y = 2x + 1 এর উপর থাকবে; সমাধান করে অনুপাত 3:1,10
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,57,"একটি বিন্দুর স্থানাঙ্ক (a, b) যেখানে a ও b ধনাত্মক পূর্ণসংখ্যা। যদি বিন্দুটি 3x + 4y = 12 রেখার উপর অবস্থিত হয়, তবে (a + b) এর সর্বোচ্চ মান কত?",3,4,5,6,B,"সমাধান: (a, b) = (0, 3), (4, 0), বা (1, 2.25) → শর্ত পূরণ করে (1, 2.25) নয়, তাই সর্বোচ্চ a + b = 3 (0 + 3)",8
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,58,"(1, 2), (3, 4), এবং (5, k) বিন্দু তিনটি সমরেখ হলে k এর মান কত?",6,5,4,3,A,ঢাল সমান: (4 - 2)/(3 - 1) = (k - 4)/(5 - 3) → k = 6,9
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,59,"একটি বর্গের কর্ণের প্রান্তবিন্দু দুটি (1, 3) এবং (5, 7) হলে, এর ক্ষেত্রফল কত?",16,25,36,9,A,কর্ণের দৈর্ঘ্য = √[(5-1)² + (7-3)²] = √32 → ক্ষেত্রফল = (কর্ণ²)/2 = 16,10
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,60,y = mx + c রেখাটি x² + y² = 1 বৃত্তকে স্পর্শ করলে c² এর মান কত?,1 + m²,1 - m²,m² - 1,m² + c²,A,বৃত্তের স্পর্শক শর্ত: c² = 1(1 + m²),10
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,61,একটি ত্রিভুজের ভূমি 8 সে.মি. এবং উচ্চতা 3 সে.মি. হলে ক্ষেত্রফল কত?,12 বর্গ সে.মি.,24 বর্গ সে.মি.,15 বর্গ সে.মি.,18 বর্গ সে.মি.,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 8 × 3 = 12 বর্গ সে.মি.,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,62,ত্রিভুজের ক্ষেত্রফল 20 বর্গ সে.মি. এবং ভূমি 5 সে.মি. হলে উচ্চতা কত?,4 সে.মি.,6 সে.মি.,8 সে.মি.,10 সে.মি.,C,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা → 20 = (1/2) × 5 × উচ্চতা → উচ্চতা = 8 সে.মি.,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,63,ভূমি 10 সে.মি. এবং উচ্চতা 6 সে.মি. হলে ত্রিভুজের ক্ষেত্রফল কত?,30 বর্গ সে.মি.,25 বর্গ সে.মি.,20 বর্গ সে.মি.,35 বর্গ সে.মি.,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 10 × 6 = 30 বর্গ সে.মি.,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,64,ত্রিভুজের ক্ষেত্রফল 15 বর্গ সে.মি. এবং উচ্চতা 5 সে.মি. হলে ভূমি কত?,6 সে.মি.,8 সে.মি.,10 সে.মি.,12 সে.মি.,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা → 15 = (1/2) × ভূমি × 5 → ভূমি = 6 সে.মি.,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,65,একটি ত্রিভুজের ভূমি 12 সে.মি. এবং উচ্চতা 5 সে.মি. হলে ক্ষেত্রফল কত?,30 বর্গ সে.মি.,25 বর্গ সে.মি.,20 বর্গ সে.মি.,35 বর্গ সে.মি.,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 12 × 5 = 30 বর্গ সে.মি.,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,66,"(0, 0), (4, 0), (0, 3) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",6 বর্গ একক,8 বর্গ একক,10 বর্গ একক,12 বর্গ একক,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 4 × 3 = 6 বর্গ একক,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,67,একটি সমবাহু ত্রিভুজের বাহু 6 সে.মি. হলে ক্ষেত্রফল কত?,9√3 বর্গ সে.মি.,12√3 বর্গ সে.মি.,6√3 বর্গ সে.মি.,15√3 বর্গ সে.মি.,A,ক্ষেত্রফল = (√3/4) × বাহু² = (√3/4) × 6² = 9√3 বর্গ সে.মি.,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,68,"(0, 0), (5, 0), (0, 4) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",10 বর্গ একক,12 বর্গ একক,8 বর্গ একক,14 বর্গ একক,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 5 × 4 = 10 বর্গ একক,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,69,ত্রিভুজের ক্ষেত্রফল 18 বর্গ সে.মি. এবং ভূমি 9 সে.মি. হলে উচ্চতা কত?,4 সে.মি.,5 সে.মি.,6 সে.মি.,7 সে.মি.,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা → 18 = (1/2) × 9 × উচ্চতা → উচ্চতা = 4 সে.মি.,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,70,একটি সমকোণী ত্রিভুজের কাটা বাহু 3 সে.মি. এবং 4 সে.মি. হলে ক্ষেত্রফল কত?,6 বর্গ সে.মি.,8 বর্গ সে.মি.,10 বর্গ সে.মি.,12 বর্গ সে.মি.,A,ক্ষেত্রফল = (1/2) × কাটা বাহু₁ × কাটা বাহু₂ = (1/2) × 3 × 4 = 6 বর্গ সে.মি.,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,71,"(0, 0), (6, 0), (0, 5) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",15 বর্গ একক,12 বর্গ একক,18 বর্গ একক,10 বর্গ একক,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 6 × 5 = 15 বর্গ একক,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,72,একটি সমবাহু ত্রিভুজের বাহু 8 সে.মি. হলে ক্ষেত্রফল কত?,16√3 বর্গ সে.মি.,12√3 বর্গ সে.মি.,20√3 বর্গ সে.মি.,24√3 বর্গ সে.মি.,A,ক্ষেত্রফল = (√3/4) × বাহু² = (√3/4) × 8² = 16√3 বর্গ সে.মি.,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,73,"ত্রিভুজের তিনটি বাহু 3 সে.মি., 4 সে.মি., এবং 5 সে.মি. হলে ক্ষেত্রফল কত?",6 বর্গ সে.মি.,8 বর্গ সে.মি.,10 বর্গ সে.মি.,12 বর্গ সে.মি.,A,"এটি সমকোণী ত্রিভুজ, ক্ষেত্রফল = (1/2) × 3 × 4 = 6 বর্গ সে.মি.",3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,74,"(1, 1), (5, 1), (1, 4) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",6 বর্গ একক,8 বর্গ একক,10 বর্গ একক,12 বর্গ একক,A,"ভূমি = 5-1 = 4, উচ্চতা = 4-1 = 3, ক্ষেত্রফল = (1/2) × 4 × 3 = 6 বর্গ একক",3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,75,একটি ত্রিভুজের ক্ষেত্রফল 24 বর্গ সে.মি. এবং ভূমি 8 সে.মি. হলে উচ্চতা কত?,4 সে.মি.,5 সে.মি.,6 সে.মি.,7 সে.মি.,C,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা → 24 = (1/2) × 8 × উচ্চতা → উচ্চতা = 6 সে.মি.,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,76,একটি সমকোণী ত্রিভুজের কাটা বাহু 6 সে.মি. এবং 8 সে.মি. হলে ক্ষেত্রফল কত?,24 বর্গ সে.মি.,28 বর্গ সে.মি.,32 বর্গ সে.মি.,36 বর্গ সে.মি.,A,ক্ষেত্রফল = (1/2) × কাটা বাহু₁ × কাটা বাহু₂ = (1/2) × 6 × 8 = 24 বর্গ সে.মি.,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,77,"(0, 0), (7, 0), (0, 6) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",21 বর্গ একক,18 বর্গ একক,24 বর্গ একক,15 বর্গ একক,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 7 × 6 = 21 বর্গ একক,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,78,"ত্রিভুজের তিনটি বাহু 5 সে.মি., 5 সে.মি., এবং 6 সে.মি. হলে ক্ষেত্রফল কত?",12 বর্গ সে.মি.,15 বর্গ সে.মি.,18 বর্গ সে.মি.,20 বর্গ সে.মি.,A,"হেরনের সূত্র: s = (5+5+6)/2 = 8, ক্ষেত্রফল = √[8(8-5)(8-5)(8-6)] = √(8×3×3×2) = 12 বর্গ সে.মি.",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,79,"(2, 1), (6, 1), (2, 5) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",8 বর্গ একক,10 বর্গ একক,12 বর্গ একক,14 বর্গ একক,A,"ভূমি = 6-2 = 4, উচ্চতা = 5-1 = 4, ক্ষেত্রফল = (1/2) × 4 × 4 = 8 বর্গ একক",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,80,একটি সমবাহু ত্রিভুজের ক্ষেত্রফল 25√3 বর্গ সে.মি. হলে বাহুর দৈর্ঘ্য কত?,8 সে.মি.,10 সে.মি.,12 সে.মি.,14 সে.মি.,B,ক্ষেত্রফল = (√3/4) × বাহু² → 25√3 = (√3/4) × বাহু² → বাহু = 10 সে.মি.,4
