Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
অসীম ধারার আংশিক সমষ্টি,57,1³+2³+3³+...+8³ ধারাটির যোগফল কত?,1296,2025,3025,4096,A,যোগফল = [n(n+1)/2]² = 36² = 1296,6
অসীম ধারার আংশিক সমষ্টি,58,1×2+2×3+3×4+...+10×11 ধারাটির যোগফল কত?,440,450,460,470,A,যোগফল = n(n+1)(n+2)/3 = 440,6
অসীম ধারার আংশিক সমষ্টি,59,1+1/2+1/4+1/8+... ধারাটির প্রথম 5টি পদের যোগফল কত?,31/16,15/8,63/32,31/32,A,যোগফল = (1-1/2⁵)/(1-1/2) = 31/16,7
অসীম ধারার আংশিক সমষ্টি,60,2+6+18+54+... ধারাটির প্রথম 6টি পদের যোগফল কত?,728,729,1456,1458,A,যোগফল = 2(3⁶-1)/(3-1) = 728,7
অসীম ধারার আংশিক সমষ্টি,61,1-2+3-4+5-6+... ধারাটির প্রথম 20টি পদের যোগফল কত?,-10,10,-20,20,A,জোড় সংখ্যক পদে যোগফল = -n/2 = -10,7
অসীম ধারার আংশিক সমষ্টি,62,1+3+7+15+31+... ধারাটির প্রথম 5টি পদের যোগফল কত?,57,63,127,255,A,যোগফল = (2²+2³+2⁴+2⁵+2⁶)-5 = 57,7
অসীম ধারার আংশিক সমষ্টি,63,1/2+1/6+1/12+1/20+... ধারাটির প্রথম 10টি পদের যোগফল কত?,10/11,9/10,11/12,12/13,A,"টেলিস্কোপিং সিরিজ, যোগফল = 1 - 1/(n+1) = 10/11",8
অসীম ধারার আংশিক সমষ্টি,64,1×3+2×4+3×5+...+10×12 ধারাটির যোগফল কত?,570,580,590,600,A,যোগফল = Σn(n+2) = n(n+1)(2n+1)/6 + n(n+1) = 570,8
অসীম ধারার আংশিক সমষ্টি,65,1+4+9+16+...+100 ধারাটির যোগফল কত?,385,325,285,255,A,যোগফল = 1²+2²+...+10² = 385,8
অসীম ধারার আংশিক সমষ্টি,66,1+5+9+13+... ধারাটির প্রথম 15টি পদের যোগফল কত?,435,450,465,480,A,যোগফল = n/2[2a+(n-1)d] = 15/2[2+56] = 435,8
অসীম ধারার আংশিক সমষ্টি,67,1/1×2 + 1/2×3 + 1/3×4 +... ধারাটির প্রথম 99টি পদের যোগফল কত?,99/100,100/101,98/99,101/102,A,"টেলিস্কোপিং সিরিজ, যোগফল = 1 - 1/(n+1) = 99/100",9
অসীম ধারার আংশিক সমষ্টি,68,1+11+111+1111+... ধারাটির প্রথম 5টি পদের যোগফল কত?,12345,13579,11111,54321,A,যোগফল = 1+11+111+1111+11111 = 12345,9
অসীম ধারার আংশিক সমষ্টি,69,1²-2²+3²-4²+...-20² ধারাটির যোগফল কত?,-210,210,-420,420,A,যোগফল = -(1+2+3+...+20) = -210,9
অসীম ধারার আংশিক সমষ্টি,70,1+(1+2)+(1+2+3)+... ধারাটির প্রথম 10টি পদের যোগফল কত?,200,210,220,190,C,যোগফল = Σn(n+1)/2 = n(n+1)(n+2)/6 = 220,9
অসীম ধারার আংশিক সমষ্টি,71,1×1!+2×2!+3×3!+...+10×10! ধারাটির যোগফল কত?,11!,10!-1,11!-1,10!,C,যোগফল = (n+1)!-1 = 11!-1,10
অসীম ধারার আংশিক সমষ্টি,72,1/√1+√2 + 1/√2+√3 + ... + 1/√99+√100 ধারাটির যোগফল কত?,11,10,9,12,C,যুক্তিহর করে যোগফল = √100 - √1 = 9,10
অসীম ধারার আংশিক সমষ্টি,73,1²+3²+5²+...+19² ধারাটির যোগফল কত?,1520,1425,1330,1615,C,যোগফল = n(2n+1)(2n-1)/3 = 1330,10
অসীম ধারার আংশিক সমষ্টি,74,1+(1+3)+(1+3+5)+... ধারাটির প্রথম 7টি পদের যোগফল কত?,126,133,140,119,C,যোগফল = Σn² = n(n+1)(2n+1)/6 = 140,10
অসীম ধারার আংশিক সমষ্টি,75,1×2×3 + 2×3×4 + 3×4×5 + ... ধারাটির প্রথম 10টি পদের যোগফল কত?,6270,5280,4290,7260,C,যোগফল = n(n+1)(n+2)(n+3)/4 = 4290,10
অসীম ধারার আংশিক সমষ্টি,76,2²+4²+6²+...+20² ধারাটির যোগফল কত?,1740,1640,1540,1840,C,যোগফল = 4(1²+2²+...+10²) = 4×385 = 1540,7
অসীম ধারার আংশিক সমষ্টি,77,1+6+11+16+... ধারাটির প্রথম 12টি পদের যোগফল কত?,362,352,342,372,C,যোগফল = n/2[2a+(n-1)d] = 6[2+55] = 342,7
অসীম ধারার আংশিক সমষ্টি,78,1/3 + 1/15 + 1/35 + ... ধারাটির প্রথম 5টি পদের যোগফল কত?,7/15,6/13,5/11,8/17,C,যোগফল = n/(2n+1) = 5/11,8
অসীম ধারার আংশিক সমষ্টি,79,1-3+5-7+9-11+... ধারাটির প্রথম 30টি পদের যোগফল কত?,-60,30,-30,60,C,জোড় সংখ্যক পদে যোগফল = -2n = -60,8
অসীম ধারার আংশিক সমষ্টি,80,1+(1+2)+(1+2+3)+...+(1+2+...+20) ধারাটির যোগফল কত?,1540,1610,1680,1750,A,যোগফল = n(n+1)(n+2)/6 = 1540,8
অসীম ধারার আংশিক সমষ্টি,81,1×4 + 2×5 + 3×6 + ... + 10×13 ধারাটির যোগফল কত?,540,550,560,570,A,যোগফল = Σn(n+3) = n(n+1)(2n+1)/6 + 3n(n+1)/2 = 540,7
অসীম ধারার আংশিক সমষ্টি,82,1/1×3 + 1/3×5 + 1/5×7 + ... ধারাটির প্রথম 50টি পদের যোগফল কত?,50/101,51/102,49/100,52/103,A,যোগফল = n/(2n+1) = 50/101,8
অসীম ধারার আংশিক সমষ্টি,83,1+2²+3+4²+5+6²+... ধারাটির প্রথম 10টি পদের যোগফল কত?,215,225,235,245,A,"বিজোড় পদ = 1+3+5+..., জোড় পদ = 2²+4²+6²+...",7
অসীম ধারার আংশিক সমষ্টি,84,1+(1+4)+(1+4+7)+... ধারাটির প্রথম 5টি পদের যোগফল কত?,105,115,125,135,A,যোগফল = Σn(3n-1)/2 = 105,8
অসীম ধারার আংশিক সমষ্টি,85,1.2+2.3+3.4+...+10.11 ধারাটির যোগফল কত?,440,450,460,470,A,যোগফল = n(n+1)(n+2)/3 = 440,7
অসীম ধারার আংশিক সমষ্টি,86,1/2 + 1/4 + 1/8 + ... ধারাটির প্রথম 8টি পদের যোগফল কত?,255/256,127/128,63/64,31/32,A,যোগফল = 1 - 1/2⁸ = 255/256,6
অসীম ধারার আংশিক সমষ্টি,87,1+3+6+10+... ধারাটির প্রথম 7টি পদের যোগফল কত?,84,91,98,105,A,ত্রিভুজ সংখ্যার যোগফল = n(n+1)(n+2)/6 = 84,7
অসীম ধারার আংশিক সমষ্টি,88,1+4+9+16+... ধারাটির প্রথম 8টি পদের যোগফল কত?,204,220,240,260,A,যোগফল = n(n+1)(2n+1)/6 = 204,6
অসীম ধারার আংশিক সমষ্টি,89,1+5+12+22+... ধারাটির প্রথম 6টি পদের যোগফল কত?,175,185,195,205,A,পঞ্চভুজ সংখ্যার যোগফল = n²(n+1)/2 = 175,8
অসীম ধারার আংশিক সমষ্টি,90,1+2+4+8+... ধারাটির প্রথম 10টি পদের যোগফল কত?,1023,1024,2047,2048,A,যোগফল = 2¹⁰ - 1 = 1023,6
অসীম ধারার আংশিক সমষ্টি,91,1+1/(1+2)+1/(1+2+3)+... ধারাটির প্রথম 10টি পদের যোগফল কত?,20/11,10/11,20/21,10/21,A,যোগফল = 2n/(n+1) = 20/11,8
অসীম ধারার আংশিক সমষ্টি,92,1²+2²+4²+8²+... ধারাটির প্রথম 6টি পদের যোগফল কত?,1365,2730,5461,10922,A,যোগফল = (4ⁿ-1)/3 = 1365,8
অসীম ধারার আংশিক সমষ্টি,93,1+1/3+1/9+1/27+... ধারাটির প্রথম 5টি পদের যোগফল কত?,121/81,122/81,121/243,122/243,A,যোগফল = (3/2)(1-1/3⁵) = 121/81,7
অসীম ধারার আংশিক সমষ্টি,94,1+2x+3x²+4x³+... ধারাটির প্রথম nটি পদের যোগফল কত?,(1-xⁿ)/(1-x),(1-(n+1)xⁿ+nxⁿ⁺¹)/(1-x)²,(1-(n+1)xⁿ)/(1-x),(1+nxⁿ⁺¹)/(1-x)²,B,এই ধারার যোগফলের সূত্র,9
অসীম ধারার আংশিক সমষ্টি,95,1-1/2+1/3-1/4+... ধারাটির প্রথম 4টি পদের যোগফল কত?,5/12,7/12,13/12,11/12,B,যোগফল = 1 - 1/2 + 1/3 - 1/4 = 7/12,8
অসীম ধারার আংশিক সমষ্টি,96,1+1/2²+1/3²+1/4²+... ধারাটির প্রথম 3টি পদের যোগফল কত?,36/49,49/36,13/36,36/13,B,যোগফল = 1 + 1/4 + 1/9 = 49/36,7
অসীম ধারার আংশিক সমষ্টি,97,1+3+7+15+31+... ধারাটির প্রথম nটি পদের যোগফল কত?,2ⁿ - n - 1,2ⁿ⁺¹ - n - 2,2ⁿ⁺¹ - 1,2ⁿ - 2,B,এই ধারার যোগফলের সূত্র,9
অসীম ধারার আংশিক সমষ্টি,98,"1+2+3+...+n=210 হলে, n এর মান কত?",21,20,22,23,B,n(n+1)/2=210 ⇒ n=20,6
অসীম ধারার আংশিক সমষ্টি,99,"1²+2²+3²+...+n²=385 হলে, n এর মান কত?",11,10,12,13,B,n(n+1)(2n+1)/6=385 ⇒ n=10,7
অসীম ধারার আংশিক সমষ্টি,100,"1³+2³+3³+...+n³=3025 হলে, n এর মান কত?",10,11,12,13,A,[n(n+1)/2]²=3025 ⇒ n=10,7
অসীম ধারা,101,গুণোত্তর ধারা 1 + 1/2 + 1/4 + ... এর অসীম যোগফল কত?,1,2,3,4,B,অসীম গুণোত্তর ধারার যোগফল = a/(1-r) = 1/(1-1/2) = 2।,1
অসীম ধারা,102,ধারা 1 + 1/3 + 1/9 + ... এর অসীম যোগফল কত?,3/2,4/3,2,3/2,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-1/3) = 3/2।,1
অসীম ধারা,103,অসীম ধারা 2 + 1 + 1/2 + ... এর যোগফল কত?,4,3,7/2,9/2,A,অসীম গুণোত্তর ধারার যোগফল = 2/(1-1/2) = 4।,1
অসীম ধারা,104,ধারা 3 + 3/2 + 3/4 + ... এর অসীম যোগফল কত?,5,6,7,8,B,অসীম গুণোত্তর ধারার যোগফল = 3/(1-1/2) = 6।,1
অসীম ধারা,105,ধারা 1/2 + 1/4 + 1/8 + ... এর অসীম যোগফল কত?,1,2/3,3/4,1/2,A,অসীম গুণোত্তর ধারার যোগফল = (1/2)/(1-1/2) = 1।,1
অসীম ধারা,106,ধারা 4 + 2 + 1 + ... এর অসীম যোগফল কত?,8,10,12,14,A,অসীম গুণোত্তর ধারার যোগফল = 4/(1-1/2) = 8।,2
অসীম ধারা,107,অসীম ধারা 1 + 1/4 + 1/16 + ... এর যোগফল কত?,4/3,5/4,3/2,2,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-1/4) = 4/3।,2
অসীম ধারা,108,ধারা 5 + 5/3 + 5/9 + ... এর অসীম যোগফল কত?,15/2,10,25/3,5,A,অসীম গুণোত্তর ধারার যোগফল = 5/(1-1/3) = 15/2।,2
অসীম ধারা,109,ধারা 1/3 + 1/9 + 1/27 + ... এর অসীম যোগফল কত?,1/2,2/3,1/3,1/4,A,অসীম গুণোত্তর ধারার যোগফল = (1/3)/(1-1/3) = 1/2।,2
অসীম ধারা,110,অসীম ধারা 6 + 3 + 3/2 + ... এর যোগফল কত?,12,10,14,16,A,অসীম গুণোত্তর ধারার যোগফল = 6/(1-1/2) = 12।,2
অসীম ধারা,111,ধারা 1 + 2/3 + 4/9 + ... এর অসীম যোগফল কত?,3,4,5,6,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-2/3) = 3।,3
অসীম ধারা,112,অসীম ধারা 9 + 3 + 1 + ... এর যোগফল কত?,27/2,12,15,18,A,অসীম গুণোত্তর ধারার যোগফল = 9/(1-1/3) = 27/2।,3
অসীম ধারা,113,ধারা 1/4 + 1/16 + 1/64 + ... এর অসীম যোগফল কত?,1/3,1/4,1/5,1/6,A,অসীম গুণোত্তর ধারার যোগফল = (1/4)/(1-1/4) = 1/3।,3
অসীম ধারা,114,ধারা 2 + 2/3 + 2/9 + ... এর অসীম যোগফল কত?,3,4,5,6,A,অসীম গুণোত্তর ধারার যোগফল = 2/(1-1/3) = 3।,3
অসীম ধারা,115,অসীম ধারা 8 + 4 + 2 + ... এর যোগফল কত?,16,18,20,22,A,অসীম গুণোত্তর ধারার যোগফল = 8/(1-1/2) = 16।,3
অসীম ধারা,116,ধারা 1/5 + 1/25 + 1/125 + ... এর অসীম যোগফল কত?,1/4,1/5,1/6,1/7,A,অসীম গুণোত্তর ধারার যোগফল = (1/5)/(1-1/5) = 1/4।,4
অসীম ধারা,117,অসীম ধারা 3 + 1 + 1/3 + ... এর যোগফল কত?,9/2,5,11/2,6,A,অসীম গুণোত্তর ধারার যোগফল = 3/(1-1/3) = 9/2।,4
অসীম ধারা,118,ধারা 1 + 3/4 + 9/16 + ... এর অসীম যোগফল কত?,4,5,6,7,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-3/4) = 4।,4
অসীম ধারা,119,ধারা 4 + 4/5 + 4/25 + ... এর অসীম যোগফল কত?,5,6,7,8,A,অসীম গুণোত্তর ধারার যোগফল = 4/(1-1/5) = 5।,4
অসীম ধারা,120,অসীম ধারা 1/2 + 1/6 + 1/18 + ... এর যোগফল কত?,3/4,2/3,1,5/6,A,অসীম গুণোত্তর ধারার যোগফল = (1/2)/(1-1/3) = 3/4।,4
অসীম ধারা,121,ধারা 1 + 4/5 + 16/25 + ... এর অসীম যোগফল কত?,5,6,7,8,A,অসীম গুণোত্তর ধারার যোগফল = 1/(1-4/5) = 5।,5
অসীম ধারা,122,অসীম ধারা 10 + 5 + 5/2 + ... এর যোগফল কত?,20,22,24,26,A,অসীম গুণোত্তর ধারার যোগফল = 10/(1-1/2) = 20।,5
অসীম ধারা,123,ধারা 1/3 + 1/12 + 1/48 + ... এর অসীম যোগফল কত?,1/2,2/5,3/7,4/9,A,অসীম গুণোত্তর ধারার যোগফল = (1/3)/(1-1/4) = 1/2।,5
অসীম ধারা,124,ধারা 6 + 2 + 2/3 + ... এর অসীম যোগফল কত?,9,10,11,12,A,অসীম গুণোত্তর ধারার যোগফল = 6/(1-1/3) = 9।,5
অসীম ধারা,125,অসীম ধারা 1/4 + 1/8 + 1/16 + ... এর যোগফল কত?,1,2/3,3/4,1/2,D,অসীম গুণোত্তর ধারার যোগফল = (1/4)/(1-1/2) = 1/2।,5
অসীম ধারা,126,ধারা 2 + 3/2 + 9/8 + ... এর অসীম যোগফল কত?,14,10,12,8,D,অসীম গুণোত্তর ধারার যোগফল = 2/(1-3/4) = 8।,6
অসীম ধারা,127,অসীম ধারা 1/6 + 1/24 + 1/96 + ... এর যোগফল কত?,1/7,1/5,1/6,1/4,D,অসীম গুণোত্তর ধারার যোগফল = (1/6)/(1-1/4) = 1/4।,6
অসীম ধারা,128,ধারা 5 + 5/2 + 5/4 + ... এর অসীম যোগফল কত?,16,12,14,10,D,অসীম গুণোত্তর ধারার যোগফল = 5/(1-1/2) = 10।,6
অসীম ধারা,129,অসীম ধারা 1 + 2/5 + 4/25 + ... এর যোগফল কত?,2,7/4,3/2,5/3,D,অসীম গুণোত্তর ধারার যোগফল = 1/(1-2/5) = 5/3।,6
